"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"41175","Segambut",680000,3,2,"Condominium (Intermediate)","Built-up ",1643,1
"41176","Segambut",680000,3,2,"Condominium (Intermediate)","Built-up ",1168,0
"41177","Segambut",780000,3,2,"Condominium (Corner)","Built-up ",1300,1
"41178","Segambut",580000,3,2,"Condominium","Built-up ",1205,0
"41179","Segambut",765000,3,2,"Condominium (Intermediate)","Built-up ",1893,0
"41180","Segambut",580000,3,1,"Condominium (Intermediate)","Built-up ",1381,0
"41181","Segambut",580000,3,1,"Condominium (Intermediate)","Built-up ",1205,0
"41182","Segambut",750000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41183","Segambut",580000,3,2,"Apartment","Built-up ",1130,0
"41184","Segambut",580000,3,1,"Condominium (Corner)","Built-up ",1300,0
"41185","Segambut",1180000,3,1,"1-sty Terrace/Link House","Land area ",3400,0
"41186","Segambut",2250000,7,2,"3.5-sty Terrace/Link House","Built-up ",4400,0
"41187","Segambut",950000,3,2,"Condominium (Corner)","Built-up ",1893,1
"41188","Segambut",649000,3,2,"Condominium (Corner)","Built-up ",1577,1
"41189","Segambut",6e+05,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41190","Segambut",730000,3,2,"Condominium (Corner)","Built-up ",1893,1
"41191","Segambut",2500000,4,2,"Semi-detached House (Corner)","Land area ",4278,1
"41192","Segambut",670000,3,2,"Condominium (Intermediate)","Built-up ",1155,0
"41193","Segambut",620000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41194","Segambut",650000,2,2,"Condominium (Intermediate)","Built-up ",1021,1
"41195","Segambut",1620000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,0
"41196","Segambut",750000,3,2,"Condominium (Corner)","Built-up ",1300,1
"41197","Segambut",720000,3,2,"Condominium","Built-up ",1262,0
"41198","Segambut",580000,3,2,"Condominium (Intermediate)","Built-up ",1250,1
"41199","Segambut",580000,3,2,"Apartment (Corner)","Built-up ",1108,0
"41200","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1052,0
"41201","Segambut",580000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",880,0
"41202","Segambut",1100000,3,2,"Condominium (Corner)","Built-up ",1788,1
"41203","Segambut",850000,3,2,"Condominium (Corner)","Built-up ",1319,0
"41204","Segambut",845000,3,2,"Condominium (Corner)","Built-up ",1306,0
"41205","Segambut",1200000,3,2,"Condominium (Corner)","Built-up ",1856,1
"41206","Segambut",1200000,3,2,"Condominium (Corner)","Built-up ",1788,1
"41207","Segambut",1200000,3,2,"Condominium (Corner)","Built-up ",1856,1
"41208","Segambut",9e+05,3,2,"Condominium (Corner)","Built-up ",1306,0
"41209","Segambut",3898000,7,2,"Bungalow","Land area ",4480,0
"41210","Segambut",580000,2,2,"Serviced Residence (Intermediate)","Built-up ",742,0
"41211","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",920,0
"41212","Segambut",580000,3,1,"Apartment","Built-up ",1049,0
"41213","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1045,0
"41214","Segambut",3700000,5,2,"Semi-detached House","Land area ",5155,0
"41215","Segambut",580000,3,1,"Apartment (Intermediate)","Land area ",1100,0
"41216","Segambut",680000,1,2,"Residential Land (Intermediate)","Land area ",4530,0
"41217","Segambut",8e+05,3,2,"Condominium","Built-up ",1300,1
